age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
33.0,16.0,2.0,2.0,14.0,1.0,3.0,5.0,0.4848484848484848,80.0,-80.0,1.0,0.0,1.0
52.0,27.0,2.0,1.0,12.0,1.0,1.0,5.0,0.5192307692307693,135.0,-80.0,1.0,0.0,0.0
38.0,20.0,2.0,1.0,15.0,2.0,1.0,3.0,0.5263157894736842,60.0,-80.0,1.0,0.0,0.0
56.0,39.0,4.0,3.0,11.0,1.0,2.0,5.0,0.6964285714285714,195.0,-80.0,0.0,1.0,0.0
45.0,23.0,2.0,2.0,13.0,3.0,4.0,5.0,0.5111111111111111,115.0,-80.0,1.0,0.0,0.0
29.0,9.0,4.0,5.0,12.0,2.0,1.0,3.0,0.3103448275862069,27.0,-80.0,1.0,0.0,0.0
70.0,43.0,3.0,2.0,12.0,4.0,2.0,5.0,0.6142857142857143,215.0,-80.0,1.0,0.0,0.0
62.0,43.0,7.0,5.0,8.0,2.0,4.0,5.0,0.6935483870967742,215.0,-80.0,1.0,0.0,0.0
45.0,19.0,1.0,2.0,13.0,2.0,1.0,5.0,0.4222222222222222,90.0,-80.0,1.0,0.0,1.0
68.0,51.0,4.0,2.0,10.0,3.0,2.0,5.0,0.75,255.0,-80.0,0.0,1.0,1.0
67.0,44.0,2.0,4.0,11.0,1.0,2.0,5.0,0.6567164179104478,220.0,-80.0,0.0,1.0,0.0
24.0,6.0,1.0,5.0,12.0,5.0,4.0,5.0,0.25,30.0,-80.0,0.0,1.0,0.0
38.0,17.0,3.0,3.0,12.0,3.0,3.0,5.0,0.4473684210526316,85.0,-80.0,1.0,0.0,1.0
41.0,19.0,1.0,2.0,14.0,5.0,1.0,5.0,0.4634146341463415,95.0,-80.0,1.0,0.0,0.0
33.0,10.0,5.0,5.0,15.0,3.0,4.0,5.0,0.303030303030303,50.0,-80.0,1.0,0.0,0.0
35.0,9.0,2.0,5.0,17.0,1.0,3.0,5.0,0.2571428571428571,45.0,-80.0,1.0,0.0,0.0
